category,color_key,statement
Drive & Decisiveness,green,I’m more confident moving forward when there’s a clear plan instead of improvising.
Drive & Decisiveness,yellow,I tend to slow down decisions if I sense tension or discomfort between people.
Drive & Decisiveness,blue,I lose steam when things feel routine or predictable for too long.
Drive & Decisiveness,red,I feel responsible for keeping things moving when others hesitate.
Drive & Decisiveness,green,I prefer to think through possible outcomes before committing to a direction.
Drive & Decisiveness,yellow,I’m willing to compromise on speed if it helps maintain trust.
Drive & Decisiveness,blue,"I’m more productive when I enjoy the process, not just the outcome."
Drive & Decisiveness,red,I’m comfortable being the one who takes the heat if a decision doesn’t work out.
Drive & Decisiveness,green,I get uneasy when expectations aren’t clearly defined.
Drive & Decisiveness,yellow,"I’m motivated when I feel connected to the people involved, not just the task."
Drive & Decisiveness,green,I’m more confident moving forward when there’s a clear plan instead of improvising.
Drive & Decisiveness,yellow,I tend to slow down decisions if I sense tension or discomfort between people.
Drive & Decisiveness,blue,I lose steam when things feel routine or predictable for too long.
Drive & Decisiveness,red,I feel responsible for keeping things moving when others hesitate.
Drive & Decisiveness,green,I prefer to think through possible outcomes before committing to a direction.
Drive & Decisiveness,yellow,I’m willing to compromise on speed if it helps maintain trust.
Drive & Decisiveness,blue,"I’m more productive when I enjoy the process, not just the outcome."
Drive & Decisiveness,red,I’m comfortable being the one who takes the heat if a decision doesn’t work out.
Drive & Decisiveness,green,I get uneasy when expectations aren’t clearly defined.
Drive & Decisiveness,yellow,"I’m motivated when I feel connected to the people involved, not just the task."
Fun & Social Energy,blue,"I feel most alive when I’m laughing, talking, or sharing experiences with others."
Fun & Social Energy,green,I enjoy social events more when I know what to expect ahead of time.
Fun & Social Energy,yellow,I like being part of social settings where everyone feels included and comfortable.
Fun & Social Energy,red,I enjoy social situations when there’s a clear purpose or activity involved.
Fun & Social Energy,blue,"If things feel dull or repetitive, I start looking for something more exciting to do."
Fun & Social Energy,green,"Large or noisy gatherings drain me faster than smaller, quieter ones."
Fun & Social Energy,yellow,I’m happiest in social settings where people are kind and supportive of each other.
Fun & Social Energy,red,I prefer events or activities that feel productive rather than just passing time.
Fun & Social Energy,blue,I’m usually up for trying something new if it sounds fun.
Fun & Social Energy,green,I need downtime alone to recharge after being around people.
Fun & Social Energy,blue,I’m usually the one suggesting plans or activities when people are hanging out.
Fun & Social Energy,yellow,I pay attention to who might feel left out during group activities.
Fun & Social Energy,green,I’m more relaxed socially when there’s a schedule or structure to the event.
Fun & Social Energy,red,"I enjoy social situations more when there’s a goal, game, or outcome involved."
Fun & Social Energy,blue,I get restless if I’m stuck at home too long without something fun planned.
Fun & Social Energy,green,I prefer meaningful conversations over small talk at social events.
Fun & Social Energy,yellow,I enjoy bringing people together and helping everyone feel connected.
Fun & Social Energy,red,I don’t mind taking charge of plans if it keeps things moving.
Fun & Social Energy,blue,Spontaneous plans sound more appealing to me than carefully planned ones.
Fun & Social Energy,green,I’m selective about social events and don’t feel the need to attend everything.
"Values, Loyalty & Relationships",yellow,"I care a lot about being fair, even when it’s inconvenient."
"Values, Loyalty & Relationships",red,I value honesty more than keeping the peace.
"Values, Loyalty & Relationships",green,I feel more comfortable trusting people once they’ve proven they’re reliable.
"Values, Loyalty & Relationships",blue,"I connect most with people who are open, expressive, and genuine."
"Values, Loyalty & Relationships",yellow,I feel responsible for supporting people I’ve committed to.
"Values, Loyalty & Relationships",green,I take relationships seriously and don’t invest in them lightly.
"Values, Loyalty & Relationships",red,I’d rather have a difficult but honest conversation than avoid an issue.
"Values, Loyalty & Relationships",blue,I feel closest to people I can be myself around without overthinking.
"Values, Loyalty & Relationships",yellow,I’m uncomfortable when people are treated unfairly or excluded.
"Values, Loyalty & Relationships",green,"Trust builds slowly for me, but once it’s there, it’s solid."
"Values, Loyalty & Relationships",yellow,I feel uneasy benefiting if it means someone else is treated unfairly.
"Values, Loyalty & Relationships",red,"I respect people who say what they mean, even if it comes across blunt."
"Values, Loyalty & Relationships",green,I pay close attention to whether people follow through on what they say.
"Values, Loyalty & Relationships",blue,I bond quickly with people who are warm and expressive.
"Values, Loyalty & Relationships",yellow,I’m loyal to people even when it would be easier to walk away.
"Values, Loyalty & Relationships",green,I prefer relationships that are steady and predictable rather than intense and emotional.
"Values, Loyalty & Relationships",red,I lose respect when people avoid accountability.
"Values, Loyalty & Relationships",blue,I value emotional openness more than formal boundaries in relationships.
"Values, Loyalty & Relationships",yellow,I often put effort into keeping relationships balanced and supportive.
"Values, Loyalty & Relationships",green,I’m cautious about who I let into my inner circle.
"Structure, Planning & Organization",green,I feel calmer when I have a clear plan for what’s coming next.
"Structure, Planning & Organization",blue,Too much structure makes me feel boxed in or restless.
"Structure, Planning & Organization",yellow,I like routines that help things run smoothly for everyone involved.
"Structure, Planning & Organization",red,"I use plans as tools, but I’m fine changing them if something better comes up."
"Structure, Planning & Organization",green,I prefer knowing expectations ahead of time rather than figuring things out as I go.
"Structure, Planning & Organization",blue,I tend to resist schedules that feel overly rigid or restrictive.
"Structure, Planning & Organization",yellow,I try to stay organized so I don’t create stress for other people.
"Structure, Planning & Organization",red,I focus more on results than on following a process exactly.
"Structure, Planning & Organization",green,I get uncomfortable when things feel disorganized or unclear.
"Structure, Planning & Organization",blue,I work best when I have freedom to adjust my approach as I go.
"Structure, Planning & Organization",green,I like having systems in place so I don’t have to guess what to do next.
"Structure, Planning & Organization",red,I’m comfortable skipping steps if it helps me move faster.
"Structure, Planning & Organization",blue,I prefer flexibility over having every detail mapped out in advance.
"Structure, Planning & Organization",yellow,I think organization is important because it affects more than just me.
"Structure, Planning & Organization",green,I feel more confident when I know there’s a plan backing my actions.
"Structure, Planning & Organization",blue,I struggle to stay motivated when everything feels too structured.
"Structure, Planning & Organization",yellow,I try to stay organized so others can rely on me.
"Structure, Planning & Organization",red,I don’t mind a little chaos if it leads to progress.
"Structure, Planning & Organization",green,"I like breaking big tasks into clear, manageable steps."
"Structure, Planning & Organization",blue,I enjoy working in ways that allow for spontaneity and creativity.
"Risk, Change & Comfort Zones",blue,"I’m energized by new experiences, even if they’re unpredictable."
"Risk, Change & Comfort Zones",green,I prefer stability over taking chances when outcomes are uncertain.
"Risk, Change & Comfort Zones",red,I’m willing to take risks if there’s a strong potential upside.
"Risk, Change & Comfort Zones",yellow,I hesitate to make changes if they could negatively affect others.
"Risk, Change & Comfort Zones",blue,I get bored doing the same things the same way for too long.
"Risk, Change & Comfort Zones",green,I like to understand the risks fully before making a change.
"Risk, Change & Comfort Zones",red,I trust myself to adapt if things don’t go as planned.
"Risk, Change & Comfort Zones",yellow,I’m cautious about change when it feels disruptive or unsettling.
"Risk, Change & Comfort Zones",blue,Trying something new feels exciting rather than stressful to me.
"Risk, Change & Comfort Zones",green,I feel most comfortable when outcomes are predictable.
"Risk, Change & Comfort Zones",red,I’m comfortable making decisions even when I don’t have all the information.
"Risk, Change & Comfort Zones",green,Unexpected changes tend to make me feel uneasy.
"Risk, Change & Comfort Zones",blue,I’m more likely to say yes to something new than stick with what’s familiar.
"Risk, Change & Comfort Zones",yellow,I consider how change might affect relationships before moving forward.
"Risk, Change & Comfort Zones",red,I see uncertainty as an opportunity rather than a threat.
"Risk, Change & Comfort Zones",green,I’d rather avoid risk than deal with potential complications later.
"Risk, Change & Comfort Zones",blue,I enjoy stepping outside my comfort zone just to see what happens.
"Risk, Change & Comfort Zones",yellow,I’m careful not to rush change if people around me aren’t ready.
"Risk, Change & Comfort Zones",red,I trust my ability to handle problems as they come up.
"Risk, Change & Comfort Zones",green,I feel most at ease when I know what the future is likely to look like.
"Focus, Follow-Through & Consistency",green,I’m good at sticking with tasks until they’re fully completed.
"Focus, Follow-Through & Consistency",blue,"I get excited starting things, but I don’t always enjoy the follow-through."
"Focus, Follow-Through & Consistency",red,I stay focused when I know results depend on me.
"Focus, Follow-Through & Consistency",yellow,I’m motivated to follow through when others are counting on me.
"Focus, Follow-Through & Consistency",green,I prefer working steadily rather than in bursts of energy.
"Focus, Follow-Through & Consistency",blue,I lose interest quickly if something stops feeling engaging.
"Focus, Follow-Through & Consistency",red,I push through distractions when there’s a clear goal at stake.
"Focus, Follow-Through & Consistency",yellow,I try to stay consistent so I don’t let people down.
"Focus, Follow-Through & Consistency",green,I’m disciplined about finishing what I commit to.
"Focus, Follow-Through & Consistency",blue,I work best when I can switch things up instead of doing the same task for long periods.
"Money, Success & Rewards",red,I’m motivated by achieving visible results and tangible rewards.
"Money, Success & Rewards",yellow,"I care about success, but not if it comes at the expense of others."
"Money, Success & Rewards",green,Financial security is more important to me than rapid growth.
"Money, Success & Rewards",blue,I’m motivated when success allows me more freedom and enjoyment.
"Money, Success & Rewards",red,"I enjoy measuring progress through income, rank, or performance."
"Money, Success & Rewards",yellow,I feel best about earning money when it helps support people I care about.
"Money, Success & Rewards",green,"I prefer steady, predictable income over high-risk opportunities."
"Money, Success & Rewards",blue,"Money feels like a tool to create experiences, not an end goal."
"Money, Success & Rewards",red,I’m comfortable being rewarded more when I contribute more.
"Money, Success & Rewards",yellow,I’m uncomfortable when money becomes the main focus over people.
